Year,State,Votes_Cast
1992,Vermont,292797
1992,Virginia,
1992,Washington,2324907
1992,West Virginia,
1992,Wisconsin,
1992,Wyoming,203602
1990,Alabama,
1990,Alaska,197540
1990,Arizona,1094735
1990,Arkansas,
1990,California,7899131
1990,Colorado,1046139
1990,Connecticut,1159361
1990,Delaware,183977
1990,District of Columbia,171677
1990,Florida,
1990,Georgia,
1990,Hawaii,354144
1990,Idaho,328340
1990,Illinois,3420720
1990,Indiana,1566371
1990,Iowa,1004908
1990,Kansas,805251
1990,Kentucky,
1990,Louisiana,
1990,Maine,
1990,Maryland,1170867
1990,Massachusetts,2424579
1990,Michigan,2641649
1990,Minnesota,1843104
1990,Mississippi,
1990,Missouri,
1990,Montana,326652
1990,Nebraska,604195
1990,Nevada,325959
1990,New Hampshire,307700
1990,New Jersey,1998894
1990,New Mexico,429509
1990,New York,4290261
1990,North Carolina,
1990,North Dakota,240301
1990,Ohio,3620469
1990,Oklahoma,929639
1990,Oregon,1133125
1990,Pennsylvania,
1990,Rhode Island,375188
1990,South Carolina,793614
1990,South Dakota,
1990,Tennessee,
1990,Texas,
1990,Utah,457983
1990,Vermont,217384
1990,Virginia,
1990,Washington,1362651
1990,West Virginia,
1990,Wisconsin,
1990,Wyoming,164309
1988,Alabama,
1988,Alaska,203433
1988,Arizona,1204169
1988,Arkansas,
1988,California,10194539
1988,Colorado,1416265
1988,Connecticut,1461962
1988,Delaware,254973
1988,District of Columbia,197135
1988,Florida,
1988,Georgia,
1988,Hawaii,368567
1988,Idaho,421213
1988,Illinois,4697192
1988,Indiana,2222811
1988,Iowa,1240854
1988,Kansas,
1988,Kentucky,
1988,Louisiana,
1988,Maine,
1988,Maryland,1747350
1988,Massachusetts,2689857
1988,Michigan,3745751
1988,Minnesota,2125119
1988,Mississippi,
1988,Missouri,
1988,Montana,378981
1988,Nebraska,678669
1988,Nevada,354261
1988,New Hampshire,462503
1988,New Jersey,3102502
1988,New Mexico,535694
1988,New York,6636310
1988,North Carolina,
1988,North Dakota,309100
1988,Ohio,4505284
1988,Oklahoma,1192815
1988,Oregon,1235199
1988,Pennsylvania,
1988,Rhode Island,415963
1988,South Carolina,1041846
1988,South Dakota,
1988,Tennessee,
1988,Texas,
1988,Utah,661546
1988,Vermont,270148
1988,Virginia,
1988,Washington,1923043
1988,West Virginia,
1988,Wisconsin,
1988,Wyoming,186417
1986,Alabama,
1986,Alaska,182526
1986,Arizona,889668
1986,Arkansas,
1986,California,7617142
1986,Colorado,1096867
1986,Connecticut,1025605
1986,Delaware,165563
1986,District of Columbia,134158
1986,Florida,
1986,Georgia,
1986,Hawaii,344416
1986,Idaho,392909
1986,Illinois,3322657
1986,Indiana,1619005
1986,Iowa,922094
1986,Kansas,
1986,Kentucky,
1986,Louisiana,
1986,Maine,
1986,Maryland,1161136
1986,Massachusetts,1777276
1986,Michigan,2468009
1986,Minnesota,1456579
1986,Mississippi,
1986,Missouri,
1986,Montana,326436
1986,Nebraska,577916
1986,Nevada,264365
1986,New Hampshire,257410
1986,New Jersey,1639330
1986,New Mexico,408621
1986,New York,4481718
1986,North Carolina,
1986,North Dakota,295177
1986,Ohio,3628870
1986,Oklahoma,934447
1986,Oregon,1088140
1986,Pennsylvania,
1986,Rhode Island,322724
1986,South Carolina,763493
1986,South Dakota,
1986,Tennessee,
1986,Texas,
1986,Utah,445499
1986,Vermont,211709
1986,Virginia,
1986,Washington,1358160
1986,West Virginia,449249
1986,Wisconsin,
1986,Wyoming,168615
1984,Alabama,
1984,Alaska,213173
1984,Arizona,1051339
1984,Arkansas,
1984,California,9796375
1984,Colorado,1343437
1984,Connecticut,1490946
1984,Delaware,258182
1984,District of Columbia,219193
1984,Florida,
1984,Georgia,
1984,Hawaii,349253
1984,Idaho,421935
1984,Illinois,4969352
1984,Indiana,2268493
1984,Iowa,1339886
1984,Kansas,
1984,Kentucky,
1984,Louisiana,
1984,Maine,
1984,Maryland,1695924
1984,Massachusetts,2595054
1984,Michigan,3884854
1984,Minnesota,2115317
1984,Mississippi,
1984,Missouri,
1984,Montana,395006
1984,Nebraska,670781
1984,Nevada,294413
1984,New Hampshire,406608
1984,New Jersey,3215941
1984,New Mexico,522328
1984,New York,7000828
1984,North Carolina,
1984,North Dakota,324179
1984,Ohio,4664223
1984,Oklahoma,1290555
1984,Oregon,1265824
1984,Pennsylvania,
1984,Rhode Island,422851
1984,South Carolina,1018701
1984,South Dakota,
1984,Tennessee,
1984,Texas,
1984,Utah,641846
1984,Vermont,235140
1984,Virginia,
1984,Washington,1931546
1984,West Virginia,
1984,Wisconsin,
1984,Wyoming,196153
1982,Alabama,
1982,Alaska,199458
1982,Arizona,742923
1982,Arkansas,
1982,California,8064314
1982,Colorado,1037774
1982,Connecticut,1112428
1982,Delaware,195726
1982,District of Columbia,
1982,Florida,
1982,Georgia,
1982,Hawaii,325459
1982,Idaho,332237
1982,Illinois,3856875
1982,Indiana,1834225
1982,Iowa,1050495
1982,Kansas,
1982,Kentucky,
1982,Louisiana,
1982,Maine,
1982,Maryland,1190011
1982,Massachusetts,2103780
1982,Michigan,3135928
1982,Minnesota,1834737
1982,Mississippi,
1982,Missouri,
1982,Montana,328082
1982,Nebraska,559422
1982,Nevada,242578
1982,New Hampshire,289057
1982,New Jersey,2286925
1982,New Mexico,417945
1982,New York,5437367
1982,North Carolina,
1982,North Dakota,272876
1982,Ohio,3551995
1982,Oklahoma,901488
1982,Oregon,1063913
1982,Pennsylvania,
1982,Rhode Island,370928
1982,South Carolina,688300
1982,South Dakota,
1982,Tennessee,
1982,Texas,
1982,Utah,537207
1982,Vermont,172084
1982,Virginia,
1982,Washington,1404831
1982,West Virginia,
1982,Wisconsin,
1982,Wyoming,172065
1980,Alabama,
1980,Alaska,162653
1980,Arizona,898183
1980,Arkansas,
1980,California,8775459
1980,Colorado,1225549
1980,Connecticut,1423403
1980,Delaware,239136
1980,District of Columbia,178434
1980,Florida,
1980,Georgia,
1980,Hawaii,318026
1980,Idaho,446045
1980,Illinois,4868890
1980,Indiana,2275433
1980,Iowa,1314258
1980,Kansas,
1980,Kentucky,
1980,Louisiana,
1980,Maine,
1980,Maryland,1557709
1980,Massachusetts,2566807
1980,Michigan,3978647
1980,Minnesota,2079451
1980,Mississippi,
1980,Missouri,
1980,Montana,371976
1980,Nebraska,651281
1980,Nevada,297318
1980,New Hampshire,402415
1980,New Jersey,2999879
1980,New Mexico,464848
1980,New York,6359218
1980,North Carolina,
1980,North Dakota,314525
1980,Ohio,4378937
1980,Oklahoma,1172303
1980,Oregon,1209691
1980,Pennsylvania,
1980,Rhode Island,423349
1980,South Carolina,922397
1980,South Dakota,
1980,Tennessee,
1980,Texas,
1980,Utah,609691
1980,Vermont,215500
1980,Virginia,
1980,Washington,1772904
1980,West Virginia,742150
1980,Wisconsin,
1980,Wyoming,181004
2016,Alabama,2134061
2016,Alaska,321271
2016,Arizona,2661497
2016,Arkansas,1137772
2016,California,14610509
2016,Colorado,2859216
2016,Connecticut,1675955
2016,Delaware,445228
2016,District of Columbia,312575
2016,Florida,9580489
2016,Georgia,4165405
2016,Hawaii,437664
2016,Idaho,710545
2016,Illinois,5666118
2016,Indiana,2807676
2016,Iowa,1581371
2016,Kansas,1225667
2016,Kentucky,1955195
2016,Louisiana,2049531
2016,Maine,771892
2016,Maryland,2807322
2016,Massachusetts,3378801
2016,Michigan,4874619
2016,Minnesota,2968281
2016,Mississippi,
2016,Missouri,2811549
2016,Montana,516901
2016,Nebraska,860573
2016,Nevada,1125429
2016,New Hampshire,755850
2016,New Jersey,3957303
2016,New Mexico,804043
2016,New York,7786881
2016,North Carolina,4769640
2016,North Dakota,349945
2016,Ohio,5607641
2016,Oklahoma,
2016,Oregon,2056310
2016,Pennsylvania,
2016,Rhode Island,469589
2016,South Carolina,2123584
2016,South Dakota,378995
